0,0,-3,0,2,4,0,-2,-4,-2,-1,0,2,-1,3,3,-6,0,-2
0,0,0,-3,0,0,6,0,-3,-2,-2,-1,1,-1,2,1,-11,-3,-3
3,0,0,0,0,1,3,-10,11,4,0,11,1,-4,1,4,2,4,8
0,3,0,0,1,7,1,-9,7,3,1,3,3,-8,3,1,4,9,4
-2,0,0,-1,0,5,0,-1,0,-1,0,-2,0,-1,-1,0,0,-3,0
-4,0,-1,-7,-5,0,-1,-2,-4,-7,3,-2,-3,-13,0,0,-5,0,-1
0,-6,-3,-1,0,1,0,-1,0,0,1,0,-1,0,0,-1,-4,-1,0
2,0,10,9,1,2,1,0,0,1,1,3,5,-1,7,5,2,5,1
4,3,-11,-7,0,4,0,0,0,-4,5,0,1,-2,2,1,3,-6,0
2,2,-4,-3,1,7,0,-1,4,0,0,4,0,-2,0,2,0,0,-1
1,2,0,-1,0,-3,-1,-1,-5,0,0,-3,-1,-2,-5,-6,0,-3,-1
0,1,-11,-3,2,2,0,-3,0,-4,3,0,0,-5,0,2,2,-11,0
-2,-1,-1,-3,0,3,1,-5,-1,0,1,0,0,-1,0,0,4,-3,-2
1,1,4,8,1,13,0,1,2,2,2,5,1,0,0,1,1,4,1
-3,-2,-1,-3,1,0,0,-7,-2,0,5,0,0,0,0,0,4,0,-2
-3,-1,-4,-1,0,0,1,-5,-1,-2,6,-2,0,-1,0,0,8,-3,0
6,11,-2,-4,0,5,4,-2,-3,0,0,-2,-4,-1,-4,-8,0,-7,-1
0,3,-4,-9,3,0,1,-5,6,0,3,11,3,-4,0,3,7,0,12
2,3,-8,-4,0,1,0,-1,0,1,1,0,2,-1,2,0,1,-12,0
